date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,training
2016-03-04,19142,2016,3,4,6,0,0,0,0,0,0,0,0,0,0,0,23,11,good,small_trouble,0,345,1
2016-03-05,26477,2016,3,5,7,0,0,0,0,0,0,0,0,0,0,0,19,8,little_trouble,good,0,452,1
2015-12-20,27910,2015,12,20,1,0,0,0,0,0,0,0,0,0,0,0,8,1,fair,good,0,649,1
2015-11-20,18771,2015,11,20,6,0,0,0,0,0,0,0,0,0,0,0,17,11,fair,fair,0,406,1
2015-11-29,31788,2015,11,29,1,0,0,0,0,0,0,0,0,0,0,0,14,5,good,good,0,617,0
2015-11-25,13874,2015,11,25,4,0,0,0,0,0,0,0,0,0,0,0,8,-2,good,good,0,322,1
2015-12-23,12751,2015,12,23,4,0,0,0,0,0,0,0,0,0,0,0,8,5,fair,little_trouble,0,335,1
2015-12-03,14948,2015,12,3,5,0,0,0,0,0,0,0,0,0,0,0,14,2,good,fair,0,322,1
2015-12-09,14737,2015,12,9,4,0,0,0,0,0,0,0,0,0,0,0,12,6,good,good,0,299,1
2015-12-13,25806,2015,12,13,1,0,0,0,0,0,0,0,0,0,0,0,8,4,little_trouble,little_trouble,0,555,0
2015-11-27,16915,2015,11,27,6,0,0,0,0,0,0,0,0,0,0,0,10,5,fair,little_trouble,0,431,1
2015-12-17,12080,2015,12,17,5,0,0,0,0,0,0,0,0,0,0,0,8,-3,good,good,0,364,1
2015-11-19,13767,2015,11,19,5,0,0,0,0,0,0,0,0,0,0,0,13,10,little_trouble,little_trouble,0,296,0
2015-12-21,12322,2015,12,21,2,0,0,0,0,0,0,0,0,0,0,0,9,4,good,fair,0,366,1
2015-12-29,13738,2015,12,29,3,0,0,0,0,0,0,0,0,0,0,0,10,1,fair,good,0,369,1
2015-12-05,36708,2015,12,5,7,0,0,0,0,0,0,0,0,0,0,0,7,0,little_trouble,good,0,583,1
2016-01-01,34103,2016,1,1,6,0,1,0,0,0,0,0,0,0,0,0,11,3,fair,fair,0,860,1
2015-12-16,13255,2015,12,16,4,0,0,0,0,0,0,0,0,0,0,0,8,-4,good,good,0,376,1
2015-12-18,18688,2015,12,18,6,0,0,0,0,0,0,0,0,0,0,0,9,1,good,good,0,458,1
2015-12-22,11259,2015,12,22,3,0,0,0,0,0,0,0,0,0,0,0,8,4,good,little_trouble,0,336,1
2015-11-10,11875,2015,11,10,3,0,0,0,0,0,0,0,0,0,0,0,16,10,little_trouble,little_trouble,0,308,1
2015-12-24,27203,2015,12,24,5,0,0,0,0,0,0,0,0,0,1,0,9,1,little_trouble,good,0,768,1
2015-12-02,14721,2015,12,2,4,0,0,0,0,0,0,0,0,0,0,0,14,2,good,good,0,304,1
2015-12-26,25590,2015,12,26,7,0,0,0,0,0,0,0,0,0,0,0,14,2,good,good,0,665,1
2015-11-21,42277,2015,11,21,7,0,0,0,0,0,0,0,0,0,0,0,19,12,good,fair,0,594,1
2015-12-28,14034,2015,12,28,2,0,0,0,0,0,0,0,0,0,0,0,9,1,good,fair,0,371,1
2015-12-04,18861,2015,12,4,6,0,0,0,0,0,0,0,0,0,0,0,13,4,fair,little_trouble,0,392,0
2015-11-22,30520,2015,11,22,1,0,0,0,0,0,0,0,0,0,0,0,18,10,little_trouble,good,0,635,1
2015-12-31,25631,2015,12,31,5,0,0,0,0,0,0,0,0,0,0,0,13,2,good,good,0,688,1
2015-12-06,32306,2015,12,6,1,0,0,0,0,0,0,0,0,0,0,0,11,0,good,good,0,663,1
2016-01-03,24271,2016,1,3,1,0,1,0,0,0,0,0,0,0,0,0,16,7,good,good,0,609,1
2016-01-05,13096,2016,1,5,3,0,0,0,0,0,0,0,0,0,0,0,10,4,fair,good,0,284,1
2015-11-11,17418,2015,11,11,4,0,0,0,0,0,0,0,0,0,0,0,13,9,fair,little_trouble,0,393,0
2015-11-24,14859,2015,11,24,3,0,0,0,0,0,0,0,0,0,0,0,5,0,small_trouble,little_trouble,0,293,1
2015-12-10,12711,2015,12,10,5,0,0,0,0,0,0,0,0,0,0,0,13,6,good,good,0,292,0
2015-11-17,11554,2015,11,17,3,0,0,0,0,0,0,0,0,0,0,0,15,11,little_trouble,little_trouble,0,263,1
2015-12-11,17162,2015,12,11,6,0,0,0,0,0,0,0,0,0,0,0,11,6,fair,little_trouble,0,380,0
2015-12-12,30148,2015,12,12,7,0,0,0,0,0,0,0,0,0,0,0,12,6,fair,little_trouble,0,715,1
2015-11-13,17170,2015,11,13,6,0,0,0,0,0,0,0,0,0,0,0,14,9,fair,fair,0,338,0
2015-11-26,15882,2015,11,26,5,0,0,0,0,0,0,0,0,0,0,0,10,-1,good,good,0,353,1
2015-11-18,13233,2015,11,18,4,0,0,0,0,0,0,0,0,0,0,0,14,11,little_trouble,little_trouble,0,280,1
2015-12-14,11666,2015,12,14,2,0,0,0,0,0,0,0,0,0,0,0,10,2,good,good,0,302,1
2015-11-14,25677,2015,11,14,7,0,0,0,0,0,0,0,0,0,0,0,17,11,good,fair,0,510,1
2015-12-15,10998,2015,12,15,3,0,0,0,0,0,0,0,0,0,0,0,11,0,good,good,0,327,1
2015-11-28,27793,2015,11,28,7,0,0,0,0,0,0,0,0,0,0,0,11,6,little_trouble,good,0,488,1
2015-12-19,27080,2015,12,19,7,0,0,0,0,0,0,0,0,0,0,0,8,2,good,little_trouble,0,582,1
2015-11-30,12423,2015,11,30,2,0,0,0,0,0,0,0,0,0,0,0,15,9,good,good,0,302,1
2015-12-01,11183,2015,12,1,3,0,0,0,0,0,0,0,0,0,0,0,15,7,good,fair,0,287,0
2015-12-25,23075,2015,12,25,6,0,0,0,0,0,0,0,0,1,0,0,12,0,good,good,0,740,0
2015-11-12,15544,2015,11,12,5,0,0,0,0,0,0,0,0,0,0,0,11,10,little_trouble,little_trouble,0,264,1
2015-12-27,25614,2015,12,27,1,0,0,0,0,0,0,0,0,0,0,0,12,2,good,good,0,656,0
2015-11-15,30587,2015,11,15,1,0,0,0,0,0,0,0,0,0,0,0,18,13,little_trouble,little_trouble,0,581,1
2015-12-30,16892,2015,12,30,4,0,0,0,0,0,0,0,0,0,0,0,13,0,good,good,0,348,0
2015-11-16,12764,2015,11,16,2,0,0,0,0,0,0,0,0,0,0,0,18,12,little_trouble,little_trouble,0,259,1
2016-01-02,28375,2016,1,2,7,0,1,0,0,0,0,0,0,0,0,0,14,5,little_trouble,little_trouble,0,690,0
2015-11-23,12329,2015,11,23,2,0,0,0,0,0,0,0,0,0,0,0,12,2,fair,little_trouble,0,254,1
2015-12-07,13488,2015,12,7,2,0,0,0,0,0,0,0,0,0,0,0,13,0,good,good,0,313,1
2016-01-04,14187,2016,1,4,2,0,0,0,0,0,0,0,0,0,0,0,13,6,little_trouble,little_trouble,0,271,1
2015-12-08,14026,2015,12,8,3,0,0,0,0,0,0,0,0,0,0,0,14,6,fair,good,0,291,1
2016-01-06,14178,2016,1,6,4,0,0,0,0,0,0,0,0,0,0,0,10,3,good,fair,0,350,1
2016-01-07,14712,2016,1,7,5,0,0,0,0,0,0,0,0,0,0,0,7,-1,little_trouble,little_trouble,0,288,1
